Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu1,1863,1,0,0.550,0.500,0,0.170,0.352,1,0.393,0.395,0,0.500,0.500,0,0.450,0.433,0,0.451,0.434,0,0.826,0.684
stu1,1864,1,0,0.550,0.500,0,0.170,0.352,1,0.454,0.436,0,0.500,0.500,0,0.450,0.433,0,0.451,0.434,0,0.826,0.684
stu1,1876,1,0,0.550,0.500,0,0.170,0.352,1,0.509,0.472,0,0.500,0.500,0,0.450,0.433,0,0.451,0.434,0,0.826,0.684
stu1,1891,1,0,0.550,0.500,0,0.170,0.352,1,0.558,0.505,0,0.500,0.500,0,0.450,0.433,0,0.451,0.434,0,0.826,0.684
stu1,1899,1,0,0.550,0.500,0,0.170,0.352,0,0.558,0.505,0,0.500,0.500,0,0.450,0.433,1,0.506,0.471,0,0.826,0.684
stu1,1906,1,0,0.550,0.500,0,0.170,0.352,0,0.558,0.505,0,0.500,0.500,0,0.450,0.433,1,0.556,0.504,0,0.826,0.684
stu1,1911,1,0,0.550,0.500,0,0.170,0.352,0,0.558,0.505,0,0.500,0.500,0,0.450,0.433,1,0.600,0.533,0,0.826,0.684
stu1,1932,1,0,0.550,0.500,0,0.170,0.352,1,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.600,0.533,0,0.826,0.684
stu1,1937,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,1,0.640,0.560,0,0.826,0.684
stu1,1966,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.843,0.695
stu1,1978,0,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.616,0.706
stu1,1979,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.654,0.570
stu1,1985,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.689,0.593
stu1,1998,0,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.421,0.613
stu1,1999,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.479,0.452
stu1,2006,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.531,0.487
stu1,2014,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.578,0.518
stu1,2018,1,0,0.550,0.500,0,0.170,0.352,0,0.602,0.535,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.620,0.547
stu1,2032,0,0,0.550,0.500,0,0.170,0.352,1,0.347,0.561,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2033,1,0,0.550,0.500,0,0.170,0.352,1,0.412,0.408,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2038,1,0,0.550,0.500,0,0.170,0.352,1,0.471,0.447,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2044,1,0,0.550,0.500,0,0.170,0.352,1,0.524,0.483,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2049,1,0,0.550,0.500,0,0.170,0.352,1,0.571,0.514,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2059,0,0,0.550,0.500,0,0.170,0.352,1,0.325,0.543,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2063,1,0,0.550,0.500,0,0.170,0.352,1,0.393,0.395,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2069,1,0,0.550,0.500,0,0.170,0.352,1,0.453,0.436,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2074,1,0,0.550,0.500,0,0.170,0.352,1,0.508,0.472,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2083,1,0,0.550,0.500,1,0.253,0.302,0,0.508,0.472,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2085,1,0,0.550,0.500,1,0.328,0.352,0,0.508,0.472,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2112,1,0,0.550,0.500,1,0.395,0.397,0,0.508,0.472,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2120,1,0,0.550,0.500,1,0.456,0.437,0,0.508,0.472,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2140,1,0,0.550,0.500,1,0.510,0.473,0,0.508,0.472,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2147,0,0,0.550,0.500,0,0.510,0.473,1,0.285,0.505,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2148,1,0,0.550,0.500,0,0.510,0.473,1,0.356,0.371,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2152,1,0,0.550,0.500,0,0.510,0.473,1,0.421,0.414,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,0,0.620,0.547
stu1,2195,1,0,0.550,0.500,0,0.510,0.473,0,0.421,0.414,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.658,0.572
stu1,2199,1,0,0.550,0.500,0,0.510,0.473,0,0.421,0.414,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.692,0.595
stu1,2202,1,0,0.550,0.500,0,0.510,0.473,1,0.478,0.452,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.723,0.615
stu1,2215,0,0,0.550,0.500,0,0.510,0.473,0,0.478,0.452,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.455,0.634
stu1,2216,1,0,0.550,0.500,0,0.510,0.473,0,0.478,0.452,0,0.500,0.500,0,0.450,0.433,0,0.640,0.560,1,0.510,0.473
stu1,2219,1,0,0.550,0.500,0,0.510,0.473,0,0.478,0.452,0,0.500,0.500,0,0.450,0.433,1,0.676,0.584,0,0.510,0.473
stu1,2239,1,0,0.550,0.500,0,0.510,0.473,0,0.478,0.452,0,0.500,0.500,0,0.450,0.433,1,0.708,0.606,0,0.510,0.473
stu1,2267,1,0,0.550,0.500,0,0.510,0.473,1,0.531,0.487,0,0.500,0.500,0,0.450,0.433,0,0.708,0.606,0,0.510,0.473
stu1,2274,1,0,0.550,0.500,0,0.510,0.473,1,0.578,0.518,0,0.500,0.500,0,0.450,0.433,0,0.708,0.606,0,0.510,0.473
stu1,2287,1,0,0.550,0.500,0,0.510,0.473,0,0.578,0.518,0,0.500,0.500,0,0.450,0.433,1,0.738,0.625,0,0.510,0.473
stu1,2291,1,0,0.550,0.500,0,0.510,0.473,0,0.578,0.518,0,0.500,0.500,0,0.450,0.433,1,0.764,0.643,0,0.510,0.473
stu1,2292,1,0,0.550,0.500,0,0.510,0.473,0,0.578,0.518,0,0.500,0.500,0,0.450,0.433,1,0.787,0.658,0,0.510,0.473
stu1,2294,1,0,0.550,0.500,0,0.510,0.473,1,0.620,0.547,0,0.500,0.500,0,0.450,0.433,0,0.787,0.658,0,0.510,0.473
stu1,2314,1,0,0.550,0.500,0,0.510,0.473,0,0.620,0.547,0,0.500,0.500,0,0.450,0.433,1,0.809,0.672,0,0.510,0.473
stu1,2340,0,0,0.550,0.500,0,0.510,0.473,0,0.620,0.547,0,0.500,0.500,0,0.450,0.433,0,0.809,0.672,1,0.286,0.506
stu1,2348,1,0,0.550,0.500,0,0.510,0.473,0,0.620,0.547,0,0.500,0.500,0,0.450,0.433,0,0.809,0.672,1,0.357,0.371
stu1,2349,1,0,0.550,0.500,0,0.510,0.473,0,0.620,0.547,0,0.500,0.500,0,0.450,0.433,0,0.809,0.672,1,0.421,0.414
stu1,2622,1,1,0.595,0.530,0,0.510,0.473,0,0.620,0.547,0,0.500,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2624,1,0,0.595,0.530,0,0.510,0.473,0,0.620,0.547,1,0.550,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2735,1,0,0.595,0.530,0,0.510,0.473,1,0.658,0.572,0,0.550,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2740,0,0,0.595,0.530,1,0.286,0.506,0,0.658,0.572,0,0.550,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2741,1,0,0.595,0.530,1,0.357,0.372,0,0.658,0.572,0,0.550,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2744,0,0,0.595,0.530,0,0.357,0.372,1,0.392,0.595,0,0.550,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2745,1,0,0.595,0.530,0,0.357,0.372,1,0.453,0.435,0,0.550,0.500,0,0.450,0.433,0,0.809,0.672,0,0.421,0.414
stu1,2749,0,0,0.595,0.530,0,0.357,0.372,0,0.453,0.435,0,0.550,0.500,0,0.450,0.433,1,0.562,0.685,0,0.421,0.414
stu1,2750,1,0,0.595,0.530,0,0.357,0.372,0,0.453,0.435,0,0.550,0.500,0,0.450,0.433,1,0.606,0.537,0,0.421,0.414
stu1,2758,0,0,0.595,0.530,0,0.357,0.372,0,0.453,0.435,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,1,0.239,0.453
stu1,2759,1,0,0.595,0.530,0,0.357,0.372,0,0.453,0.435,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,1,0.315,0.343
stu1,2761,1,0,0.595,0.530,1,0.422,0.414,0,0.453,0.435,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,0,0.315,0.343
stu1,2770,1,0,0.595,0.530,0,0.422,0.414,1,0.508,0.472,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,0,0.315,0.343
stu1,2774,0,0,0.595,0.530,0,0.422,0.414,1,0.284,0.505,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,0,0.315,0.343
stu1,2775,1,0,0.595,0.530,0,0.422,0.414,1,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,0,0.315,0.343
stu1,2815,1,1,0.636,0.557,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,0,0.315,0.343
stu1,2817,1,1,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.606,0.537,0,0.315,0.343
stu1,2852,0,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.350,0.564,0,0.315,0.343
stu1,2853,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.415,0.410,0,0.315,0.343
stu1,2856,0,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.236,0.449,0,0.315,0.343
stu1,2857,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.312,0.341,0,0.315,0.343
stu1,2864,0,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.192,0.387,0,0.315,0.343
stu1,2868,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.273,0.315,0,0.315,0.343
stu1,2894,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.345,0.364,0,0.315,0.343
stu1,2901,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,1,0.411,0.407,0,0.315,0.343
stu1,2923,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.411,0.407,1,0.383,0.389
stu1,2928,0,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.411,0.407,1,0.221,0.430
stu1,2929,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.411,0.407,1,0.299,0.333
stu1,2930,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.411,0.407,1,0.369,0.379
stu1,2941,1,0,0.672,0.581,0,0.422,0.414,0,0.356,0.371,0,0.550,0.500,0,0.450,0.433,0,0.411,0.407,1,0.432,0.421
